"iso3","country","Region.Name"
"AFG","Afghanistan","Asia"
"AGO","Angola","Africa"
"ALB","Albania","Europe"
"AND","Andorra","Europe"
"ARE","United Arab Emirates","Asia"
"ARG","Argentina","Americas"
"ARM","Armenia","Asia"
"ATG","Antigua and Barbuda","Americas"
"AUS","Australia","Oceania"
"AUT","Austria","Europe"
"AZE","Azerbaijan","Asia"
"BDI","Burundi","Africa"
"BEL","Belgium","Europe"
"BEN","Benin","Africa"
"BFA","Burkina Faso","Africa"
"BGD","Bangladesh","Asia"
"BGR","Bulgaria","Europe"
"BHR","Bahrain","Asia"
"BHS","Bahamas","Americas"
"BIH","Bosnia and Herzegovina","Europe"
"BLR","Belarus","Europe"
"BLZ","Belize","Americas"
"BOL","Bolivia (Plurinational State of)","Americas"
"BRA","Brazil","Americas"
"BRB","Barbados","Americas"
"BRN","Brunei Darussalam","Asia"
"BTN","Bhutan","Asia"
"BWA","Botswana","Africa"
"CAF","Central African Republic","Africa"
"CAN","Canada","Americas"
"CHE","Switzerland","Europe"
"CHL","Chile","Americas"
"CHN","China","Asia"
"CIV","C̫te d'Ivoire","Africa"
"CMR","Cameroon","Africa"
"COD","Congo (Democratic Republic of the)","Africa"
"COG","Congo","Africa"
"COL","Colombia","Americas"
"COM","Comoros","Africa"
"CPV","Cabo Verde","Africa"
"CRI","Costa Rica","Americas"
"CUB","Cuba","Americas"
"CYP","Cyprus","Asia"
"CZE","Czechia","Europe"
"DEU","Germany","Europe"
"DJI","Djibouti","Africa"
"DMA","Dominica","Americas"
"DNK","Denmark","Europe"
"DOM","Dominican Republic","Americas"
"DZA","Algeria","Africa"
"ECU","Ecuador","Americas"
"EGY","Egypt","Africa"
"ERI","Eritrea","Africa"
"ESP","Spain","Europe"
"EST","Estonia","Europe"
"ETH","Ethiopia","Africa"
"FIN","Finland","Europe"
"FJI","Fiji","Oceania"
"FRA","France","Europe"
"FSM","Micronesia (Federated States of)","Oceania"
"GAB","Gabon","Africa"
"GBR","United Kingdom","Europe"
"GEO","Georgia","Asia"
"GHA","Ghana","Africa"
"GIN","Guinea","Africa"
"GMB","Gambia","Africa"
"GNB","Guinea-Bissau","Africa"
"GNQ","Equatorial Guinea","Africa"
"GRC","Greece","Europe"
"GRD","Grenada","Americas"
"GTM","Guatemala","Americas"
"GUY","Guyana","Americas"
"HKG","Hong Kong, China (SAR)","Asia"
"HND","Honduras","Americas"
"HRV","Croatia","Europe"
"HTI","Haiti","Americas"
"HUN","Hungary","Europe"
"IDN","Indonesia","Asia"
"IND","India","Asia"
"IRL","Ireland","Europe"
"IRN","Iran (Islamic Republic of)","Asia"
"IRQ","Iraq","Asia"
"ISL","Iceland","Europe"
"ISR","Israel","Asia"
"ITA","Italy","Europe"
"JAM","Jamaica","Americas"
"JOR","Jordan","Asia"
"JPN","Japan","Asia"
"KAZ","Kazakhstan","Asia"
"KEN","Kenya","Africa"
"KGZ","Kyrgyzstan","Asia"
"KHM","Cambodia","Asia"
"KIR","Kiribati","Oceania"
"KNA","Saint Kitts and Nevis","Americas"
"KOR","Korea (Republic of)","Asia"
"KWT","Kuwait","Asia"
"LAO","Lao People's Democratic Republic","Asia"
"LBN","Lebanon","Asia"
"LBR","Liberia","Africa"
"LBY","Libya","Africa"
"LCA","Saint Lucia","Americas"
"LIE","Liechtenstein","Europe"
"LKA","Sri Lanka","Asia"
"LSO","Lesotho","Africa"
"LTU","Lithuania","Europe"
"LUX","Luxembourg","Europe"
"LVA","Latvia","Europe"
"MAR","Morocco","Africa"
"MCO","Monaco","Europe"
"MDA","Moldova (Republic of)","Europe"
"MDG","Madagascar","Africa"
"MDV","Maldives","Asia"
"MEX","Mexico","Americas"
"MHL","Marshall Islands","Oceania"
"MKD","North Macedonia","Europe"
"MLI","Mali","Africa"
"MLT","Malta","Europe"
"MMR","Myanmar","Asia"
"MNE","Montenegro","Europe"
"MNG","Mongolia","Asia"
"MOZ","Mozambique","Africa"
"MRT","Mauritania","Africa"
"MUS","Mauritius","Africa"
"MWI","Malawi","Africa"
"MYS","Malaysia","Asia"
"NAM","Namibia","Africa"
"NER","Niger","Africa"
"NGA","Nigeria","Africa"
"NIC","Nicaragua","Americas"
"NLD","Netherlands","Europe"
"NOR","Norway","Europe"
"NPL","Nepal","Asia"
"NRU","Nauru","Oceania"
"NZL","New Zealand","Oceania"
"OMN","Oman","Asia"
"PAK","Pakistan","Asia"
"PAN","Panama","Americas"
"PER","Peru","Americas"
"PHL","Philippines","Asia"
"PLW","Palau","Oceania"
"PNG","Papua New Guinea","Oceania"
"POL","Poland","Europe"
"PRK","Korea (Democratic People's Rep. of)","Asia"
"PRT","Portugal","Europe"
"PRY","Paraguay","Americas"
"PSE","Palestine, State of","Asia"
"QAT","Qatar","Asia"
"ROU","Romania","Europe"
"RUS","Russian Federation","Europe"
"RWA","Rwanda","Africa"
"SAU","Saudi Arabia","Asia"
"SDN","Sudan","Africa"
"SEN","Senegal","Africa"
"SGP","Singapore","Asia"
"SLB","Solomon Islands","Oceania"
"SLE","Sierra Leone","Africa"
"SLV","El Salvador","Americas"
"SMR","San Marino","Europe"
"SOM","Somalia","Africa"
"SRB","Serbia","Europe"
"SSD","South Sudan","Africa"
"STP","Sao Tome and Principe","Africa"
"SUR","Suriname","Americas"
"SVK","Slovakia","Europe"
"SVN","Slovenia","Europe"
"SWE","Sweden","Europe"
"SWZ","Eswatini (Kingdom of)","Africa"
"SYC","Seychelles","Africa"
"SYR","Syrian Arab Republic","Asia"
"TCD","Chad","Africa"
"TGO","Togo","Africa"
"THA","Thailand","Asia"
"TJK","Tajikistan","Asia"
"TKM","Turkmenistan","Asia"
"TLS","Timor-Leste","Asia"
"TON","Tonga","Oceania"
"TTO","Trinidad and Tobago","Americas"
"TUN","Tunisia","Africa"
"TUR","Turkey","Asia"
"TUV","Tuvalu","Oceania"
"TZA","Tanzania (United Republic of)","Africa"
"UGA","Uganda","Africa"
"UKR","Ukraine","Europe"
"URY","Uruguay","Americas"
"USA","United States","Americas"
"UZB","Uzbekistan","Asia"
"VCT","Saint Vincent and the Grenadines","Americas"
"VEN","Venezuela (Bolivarian Republic of)","Americas"
"VNM","Viet Nam","Asia"
"VUT","Vanuatu","Oceania"
"WSM","Samoa","Oceania"
"YEM","Yemen","Asia"
"ZAF","South Africa","Africa"
"ZMB","Zambia","Africa"
"ZWE","Zimbabwe","Africa"
